tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
104,IESF World Esports Championship 2023 - Asia & Oceania Qualifier,B,20230710,20230713,,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2023/Asia%26Oceania,20231230,104_IESF World Esports Championship 2023 - Asia & Oceania Qualifier.csv
105,Piala Bung Karno Esports 2023,B,20230625,20230704,,https://liquipedia.net/mobilelegends/Piala_Bung_Karno_Esports/2023,20231230,105_Piala Bung Karno Esports 2023.csv
106,H3RO Esports 4.0,B,20230602,20230625,1.6.94B,https://liquipedia.net/mobilelegends/H3RO_Esports/4.0,20231230,106_H3RO Esports 4.0.csv
107,MESA Legends Series #1,B,20230619,20230622,,https://liquipedia.net/mobilelegends/MESA_Legends_Series/1,20231230,107_MESA Legends Series #1.csv
108,Last Victory Invitational 2023,B,20230531,20230616,,https://liquipedia.net/mobilelegends/Last_Victory/Invitational/2023,20231230,108_Last Victory Invitational 2023.csv
109,Kohai SEA Championship Season 1,B,20230601,20230604,,https://liquipedia.net/mobilelegends/Kohai_SEA_Championship/Season_1,20231230,109_Kohai SEA Championship Season 1.csv
110,MTC Turkiye Championship Season 1,B,20230408,20230521,1.7.68 – 1.7.82,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_1,20231230,110_MTC Turkiye Championship Season 1.csv
111,North America Challenger Tournament Spring 2023,B,20230311,20230514,,https://liquipedia.net/mobilelegends/NACT/2023/Spring,20231230,111_North America Challenger Tournament Spring 2023.csv
112,MLBB Continental Championships Season 1,B,20230401,20230514,1.7.68,https://liquipedia.net/mobilelegends/MLBB_Continental_Championships/Season_1,20231230,112_MLBB Continental Championships Season 1.csv
113,MPL Brazil Season 4,B,20230311,20230507,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_4,20231230,113_MPL Brazil Season 4.csv
114,MLBB LATAM Super League South Season 2,B,20230304,20230507,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/South/Season_2,20231230,114_MLBB LATAM Super League South Season 2.csv
115,PBA Esports Bakbakan,B,20230227,20230501,,https://liquipedia.net/mobilelegends/PBA_Esports_Bakbakan,20231230,115_PBA Esports Bakbakan.csv
116,MLBB LATAM Super League North Season 1,B,20230304,20230430,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/North/Season_1,20231230,116_MLBB LATAM Super League North Season 1.csv
117,Snapdragon Pro Series Season 1 SEA - Challenge Final,B,20230419,20230426,,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_1/SEA/Challenge_Final,20231230,117_Snapdragon Pro Series Season 1 SEA - Challenge Final.csv
118,MPL Cambodia Spring 2023,B,20230304,20230423,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Cambodia/2023/Spring,20231230,118_MPL Cambodia Spring 2023.csv
119,MDL Philippines Season 1,B,20230215,20230423,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MDL/Philippines/Season_1,20231230,119_MDL Philippines Season 1.csv
120,MDL Indonesia Season 7,B,20230207,20230416,,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_7,20231230,120_MDL Indonesia Season 7.csv
121,Snapdragon Pro Series Season 1 SEA - Challenge Season,B,20230308,20230330,,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_1/SEA/Challenge_Season,20231230,121_Snapdragon Pro Series Season 1 SEA - Challenge Season.csv
122,Real Cup Season 2,B,20230220,20230303,,https://liquipedia.net/mobilelegends/Real_Cup/Season_2,20231230,122_Real Cup Season 2.csv
123,Snapdragon Pro Series Season 1 SEA - Open Finals,B,20230213,20230223,,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_1/SEA/Open_Finals,20231230,123_Snapdragon Pro Series Season 1 SEA - Open Finals.csv
124,MLBB Women's Invitational 2023,B,20230206,20230212,1.7.44C,https://liquipedia.net/mobilelegends/MLBB_Women%27s_Invitational/2023,20231230,124_MLBB Women's Invitational 2023.csv
125,Phygital Games #3,B,20230206,20230207,,https://liquipedia.net/mobilelegends/Phygital_Games/3,20231230,125_Phygital Games #3.csv
126,MLBB Competitive Series Season 3,B,20230131,20230206,,https://liquipedia.net/mobilelegends/MLBB_Competitive_Series/Season_3,20231230,126_MLBB Competitive Series Season 3.csv
127,WSL Season 6,B,20230117,20230205,,https://liquipedia.net/mobilelegends/WSL/Season_6,20231230,127_WSL Season 6.csv
128,Masters of Esports,B,,20230128,,https://liquipedia.net/mobilelegends/Master_of_Esports/2023,20231230,128_Masters of Esports.csv
129,Lead National Series,B,20230121,20230128,,https://liquipedia.net/mobilelegends/Lead_National_Series,20231230,129_Lead National Series.csv
130,Myriad Esports Cup Season 1,B,20230121,20230128,1.7.44C – 1.7.44C,https://liquipedia.net/mobilelegends/Myriad_Esports_Cup/Season/1,20231230,130_Myriad Esports Cup Season 1.csv
131,IESPL Women Championship,B,20230109,20230114,1.7.44C,https://liquipedia.net/mobilelegends/IESPL_Women_Championship,20231230,131_IESPL Women Championship.csv
132,King's League Tournament,B,20221227,20221228,1.7.44,https://liquipedia.net/mobilelegends/King%27s_League_Tournament,20231230,132_King's League Tournament.csv
133,Top Clans 2022 Winter Invitational,B,20221221,20221225,1.7.44,https://liquipedia.net/mobilelegends/Top_Clans/2022/Winter_Invitational,20231230,133_Top Clans 2022 Winter Invitational.csv
134,Last Victory Invitational 2022,B,20221210,20221220,1.7.32C – 1.7.44,https://liquipedia.net/mobilelegends/Last_Victory/Invitational/2022,20231230,134_Last Victory Invitational 2022.csv
135,Skyesports SEA Championship,B,20221212,20221218,,https://liquipedia.net/mobilelegends/Skyesports_SEA_Championship,20231230,135_Skyesports SEA Championship.csv
136,Smart Kingdom Of Legends SEA Rivals,B,20221119,20221218,,https://liquipedia.net/mobilelegends/Smart_Kingdom_Of_Legends_SEA_Rivals,20231230,136_Smart Kingdom Of Legends SEA Rivals.csv
137,IESF World Esports Championship 2022,B,20221203,20221211,,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2022,20231230,137_IESF World Esports Championship 2022.csv
138,Kohai Championship Season 2,B,20221124,20221127,,https://liquipedia.net/mobilelegends/Kohai_Championship/Season_2,20231230,138_Kohai Championship Season 2.csv
139,Piala Presiden Esports 2022,B,20221026,20221113,1.7.20B,https://liquipedia.net/mobilelegends/Piala_Presiden/2022,20231230,139_Piala Presiden Esports 2022.csv
140,NACT Fall Season - Path to M4,B,20220917,20221030,1.7.08 – 1.7.20B,https://liquipedia.net/mobilelegends/NACT/2022/Fall,20231230,140_NACT Fall Season - Path to M4.csv
141,MLBB Latam Super League Season 1,B,20220910,20221030,1.7.08 – 1.7.20B,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/Season_1,20231230,141_MLBB Latam Super League Season 1.csv
142,MPL Brazil Season 3,B,20220819,20221023,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_3,20231230,142_MPL Brazil Season 3.csv
143,Mobile Legends Upoint Esports Invitational Season 3,B,20221013,20221018,1.7.20,https://liquipedia.net/mobilelegends/Mobile_Legends_Upoint_Esports_Invitational/Season_3,20231230,143_Mobile Legends Upoint Esports Invitational Season 3.csv
144,MDL Indonesia Season 6,B,20220808,20221009,1.6.94B – 1.7.20,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_6,20231230,144_MDL Indonesia Season 6.csv
145,MPL Cambodia Autumn 2022,B,20220806,20221002,1.6.94B – 1.7.20,https://liquipedia.net/mobilelegends/MPL/Cambodia/2022/Autumn,20231230,145_MPL Cambodia Autumn 2022.csv
146,Türkiye Şampiyonası 2022,B,20220924,20221002,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/Turkiye_Sampiyonasi/2022,20231230,146_Türkiye Şampiyonası 2022.csv
147,WOWNOW & Prince Mall League,B,20220815,20220911,1.7.08,https://liquipedia.net/mobilelegends/WOWNOW_%26_Prince_Mall_League/Season_1,20231230,147_WOWNOW & Prince Mall League.csv
148,The Annihilation III,B,20220815,20220904,1.7.08,https://liquipedia.net/mobilelegends/The_Annihilation/Season_3,20231230,148_The Annihilation III.csv
149,Unipin Ladies Series SEA Championship 2022,B,20220822,20220828,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series_SEA_Championship/2022,20231230,149_Unipin Ladies Series SEA Championship 2022.csv
150,Woman Star League Season 5,B,20220701,20220807,,https://liquipedia.net/mobilelegends/Woman_Star_League/Season_5,20231230,150_Woman Star League Season 5.csv
151,NACT July 2022,B,20220625,20220806,1.6.84,https://liquipedia.net/mobilelegends/NACT/2022/July,20231230,151_NACT July 2022.csv
